"","Source","Type","Session","Issue","Action","Vote","Last","First","Party","City","Role","District"
"33.31","sv0032","Wisconsin Senate Roll Call","2015-2016 SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Wanggaard","Van","R","Racine","Majority Caucus Vice-Chair",21
"34.31","sv0032","Wisconsin Senate Roll Call","2015-2016 SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Wirch","Robert","D","Kenosha","Senator",22
"28.3","sv0032","Wisconsin Senate Roll Call","2015-2016 SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Nay","Stroebel","Duey","R","Saukville","Senator",20
"3.32","sv0033","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Cowles","Robert","R","Green Bay","Senator",2
"4.32","sv0033","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Darling","Alberta","R","River Hills","Senator",8
"6.32","sv0033","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Farrow","Paul","R","Pewaukee","Senator",33
"7.32","sv0033","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Fitzgerald","Scott","R","Juneau","Majority Leader",13
"8.32","sv0033","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Gudex","Rick","R","Fond du Lac","Senator",18
"11.32","sv0033","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Harsdorf","Sheila","R","River Falls","Majority Caucus Chair",10
"14.32","sv0033","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Lasee","Frank","R","De Pere","Senator",1
"16.32","sv0033","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Lazich","Mary","R","New Berlin","Senate President",28
"17.32","sv0033","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","LeMahieu","Devin","R","Oostburg","Senator",9
"18.32","sv0033","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Marklein","Howard","R","Spring Green","Senator",17
"20.32","sv0033","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Moulton","Terry","R","Chippewa Falls","Senator",23
"21.32","sv0033","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Nass","Stephen","R","Whitewater","Senator",11
"22.32","sv0033","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Olsen","Luther","R","Ripon","Senator",14
"23.32","sv0033","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Petrowski","Jerry","R","Marathon","Senator",29
"26.32","sv0033","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Roth","Roger","R","Appleton","Senator",19
"28.4","sv0033","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Stroebel","Duey","R","Saukville","Senator",20
"30.32","sv0033","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Tiffany","Thomas","R","Hazelhurst","Senator",12
"32.32","sv0033","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Vukmir","Leah","R","Brookfield","Assistant Majority Leader",5
"33.32","sv0033","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Wanggaard","Van","R","Racine","Majority Caucus Vice-Chair",21
"1.32","sv0033","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Nay","Bewley","Janet","D","Ashland","Senator",25
"2.32","sv0033","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Nay","Carpenter","Tim","D","Milwaukee","Senator",3
"5.32","sv0033","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Nay","Erpenbach","Jon","D","Middleton","Senator",27
"9.32","sv0033","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Nay","Hansen","Dave","D","Green Bay","Assistant Minority Leader",30
"10.32","sv0033","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Nay","Harris Dodd","Nikiya","D","Milwaukee","Senator",6
"13.32","sv0033","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Nay","Larson","Chris","D","Milwaukee","Senator",7
"15.32","sv0033","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Nay","Lassa","Julie","D","Stevens Point","Minority Caucus Chair",24
"19.32","sv0033","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Nay","Miller","Mark","D","Monona","Senator",16
"24.32","sv0033","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Nay","Ringhand","Janis","D","Evansville","Senator",15
"25.32","sv0033","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Nay","Risser","Fred","D","Madison","Senator",26
"27.32","sv0033","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Nay","Shilling","Jennifer","D","La Crosse","Minority Leader",32
"29.32","sv0033","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Nay","Taylor","Lena","D","Milwaukee","Senator",4
"31.32","sv0033","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Nay","Vinehout","Kathleen","D","Alma","Minority Caucus Vice-Chair",31
"34.32","sv0033","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Nay","Wirch","Robert","D","Kenosha","Senator",22
"3.33","sv0034","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Cowles","Robert","R","Green Bay","Senator",2
"4.33","sv0034","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Darling","Alberta","R","River Hills","Senator",8
"6.33","sv0034","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Farrow","Paul","R","Pewaukee","Senator",33
"7.33","sv0034","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Fitzgerald","Scott","R","Juneau","Majority Leader",13
"8.33","sv0034","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Gudex","Rick","R","Fond du Lac","Senator",18
"11.33","sv0034","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Harsdorf","Sheila","R","River Falls","Majority Caucus Chair",10
"14.33","sv0034","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Lasee","Frank","R","De Pere","Senator",1
"16.33","sv0034","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Lazich","Mary","R","New Berlin","Senate President",28
"17.33","sv0034","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","LeMahieu","Devin","R","Oostburg","Senator",9
"18.33","sv0034","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Marklein","Howard","R","Spring Green","Senator",17
"20.33","sv0034","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Moulton","Terry","R","Chippewa Falls","Senator",23
"21.33","sv0034","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Nass","Stephen","R","Whitewater","Senator",11
"22.33","sv0034","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Olsen","Luther","R","Ripon","Senator",14
"23.33","sv0034","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Petrowski","Jerry","R","Marathon","Senator",29
"26.33","sv0034","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Roth","Roger","R","Appleton","Senator",19
"28.5","sv0034","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Stroebel","Duey","R","Saukville","Senator",20
"30.33","sv0034","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Tiffany","Thomas","R","Hazelhurst","Senator",12
"32.33","sv0034","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Vukmir","Leah","R","Brookfield","Assistant Majority Leader",5
"33.33","sv0034","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Wanggaard","Van","R","Racine","Majority Caucus Vice-Chair",21
"1.33","sv0034","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Nay","Bewley","Janet","D","Ashland","Senator",25
"2.33","sv0034","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Nay","Carpenter","Tim","D","Milwaukee","Senator",3
"5.33","sv0034","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Nay","Erpenbach","Jon","D","Middleton","Senator",27
"9.33","sv0034","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Nay","Hansen","Dave","D","Green Bay","Assistant Minority Leader",30
"10.33","sv0034","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Nay","Harris Dodd","Nikiya","D","Milwaukee","Senator",6
"13.33","sv0034","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Nay","Larson","Chris","D","Milwaukee","Senator",7
"15.33","sv0034","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Nay","Lassa","Julie","D","Stevens Point","Minority Caucus Chair",24
"19.33","sv0034","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Nay","Miller","Mark","D","Monona","Senator",16
"24.33","sv0034","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Nay","Ringhand","Janis","D","Evansville","Senator",15
"25.33","sv0034","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Nay","Risser","Fred","D","Madison","Senator",26
"27.33","sv0034","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Nay","Shilling","Jennifer","D","La Crosse","Minority Leader",32
"29.33","sv0034","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Nay","Taylor","Lena","D","Milwaukee","Senator",4
"31.33","sv0034","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Nay","Vinehout","Kathleen","D","Alma","Minority Caucus Vice-Chair",31
"34.33","sv0034","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Nay","Wirch","Robert","D","Kenosha","Senator",22
"3.34","sv0035","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Cowles","Robert","R","Green Bay","Senator",2
"4.34","sv0035","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Darling","Alberta","R","River Hills","Senator",8
"6.34","sv0035","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Farrow","Paul","R","Pewaukee","Senator",33
"7.34","sv0035","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Fitzgerald","Scott","R","Juneau","Majority Leader",13
"8.34","sv0035","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Gudex","Rick","R","Fond du Lac","Senator",18
"11.34","sv0035","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Harsdorf","Sheila","R","River Falls","Majority Caucus Chair",10
"14.34","sv0035","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Lasee","Frank","R","De Pere","Senator",1
"16.34","sv0035","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Lazich","Mary","R","New Berlin","Senate President",28
"17.34","sv0035","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","LeMahieu","Devin","R","Oostburg","Senator",9
"18.34","sv0035","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Marklein","Howard","R","Spring Green","Senator",17
"20.34","sv0035","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Moulton","Terry","R","Chippewa Falls","Senator",23
"21.34","sv0035","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Nass","Stephen","R","Whitewater","Senator",11
"22.34","sv0035","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Olsen","Luther","R","Ripon","Senator",14
"23.34","sv0035","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Petrowski","Jerry","R","Marathon","Senator",29
"26.34","sv0035","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Roth","Roger","R","Appleton","Senator",19
"28.6","sv0035","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Stroebel","Duey","R","Saukville","Senator",20
"30.34","sv0035","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Tiffany","Thomas","R","Hazelhurst","Senator",12
"32.34","sv0035","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Vukmir","Leah","R","Brookfield","Assistant Majority Leader",5
"33.34","sv0035","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Aye","Wanggaard","Van","R","Racine","Majority Caucus Vice-Chair",21
"1.34","sv0035","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Nay","Bewley","Janet","D","Ashland","Senator",25
"2.34","sv0035","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Nay","Carpenter","Tim","D","Milwaukee","Senator",3
"5.34","sv0035","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Nay","Erpenbach","Jon","D","Middleton","Senator",27
"9.34","sv0035","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Nay","Hansen","Dave","D","Green Bay","Assistant Minority Leader",30
"10.34","sv0035","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Nay","Harris Dodd","Nikiya","D","Milwaukee","Senator",6
"13.34","sv0035","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Nay","Larson","Chris","D","Milwaukee","Senator",7
"15.34","sv0035","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Nay","Lassa","Julie","D","Stevens Point","Minority Caucus Chair",24
"19.34","sv0035","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Nay","Miller","Mark","D","Monona","Senator",16
"24.34","sv0035","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Nay","Ringhand","Janis","D","Evansville","Senator",15
"25.34","sv0035","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Nay","Risser","Fred","D","Madison","Senator",26
"27.34","sv0035","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Nay","Shilling","Jennifer","D","La Crosse","Minority Leader",32
"29.34","sv0035","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Nay","Taylor","Lena","D","Milwaukee","Senator",4
"31.34","sv0035","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Nay","Vinehout","Kathleen","D","Alma","Minority Caucus Vice-Chair",31
"34.34","sv0035","Wisconsin Senate Roll Call","2015-2016 SESSION","AB 143","LAY ON TABLE","Nay","Wirch","Robert","D","Kenosha","Senator",22
"1.35","sv0036","Wisconsin Senate Roll Call","2015-2016 SESSION"," SB   35","SHALL THE DECISION OF THE CHAR STAND               ","Aye","Bewley","Janet","D","Ashland","Senator",25
"3.35","sv0036","Wisconsin Senate Roll Call","2015-2016 SESSION"," SB   35","SHALL THE DECISION OF THE CHAR STAND               ","Aye","Cowles","Robert","R","Green Bay","Senator",2
"4.35","sv0036","Wisconsin Senate Roll Call","2015-2016 SESSION"," SB   35","SHALL THE DECISION OF THE CHAR STAND               ","Aye","Darling","Alberta","R","River Hills","Senator",8
"6.35","sv0036","Wisconsin Senate Roll Call","2015-2016 SESSION"," SB   35","SHALL THE DECISION OF THE CHAR STAND               ","Aye","Farrow","Paul","R","Pewaukee","Senator",33
"7.35","sv0036","Wisconsin Senate Roll Call","2015-2016 SESSION"," SB   35","SHALL THE DECISION OF THE CHAR STAND               ","Aye","Fitzgerald","Scott","R","Juneau","Majority Leader",13
"8.35","sv0036","Wisconsin Senate Roll Call","2015-2016 SESSION"," SB   35","SHALL THE DECISION OF THE CHAR STAND               ","Aye","Gudex","Rick","R","Fond du Lac","Senator",18
"11.35","sv0036","Wisconsin Senate Roll Call","2015-2016 SESSION"," SB   35","SHALL THE DECISION OF THE CHAR STAND               ","Aye","Harsdorf","Sheila","R","River Falls","Majority Caucus Chair",10
"14.35","sv0036","Wisconsin Senate Roll Call","2015-2016 SESSION"," SB   35","SHALL THE DECISION OF THE CHAR STAND               ","Aye","Lasee","Frank","R","De Pere","Senator",1
"16.35","sv0036","Wisconsin Senate Roll Call","2015-2016 SESSION"," SB   35","SHALL THE DECISION OF THE CHAR STAND               ","Aye","Lazich","Mary","R","New Berlin","Senate President",28
"17.35","sv0036","Wisconsin Senate Roll Call","2015-2016 SESSION"," SB   35","SHALL THE DECISION OF THE CHAR STAND               ","Aye","LeMahieu","Devin","R","Oostburg","Senator",9
"18.35","sv0036","Wisconsin Senate Roll Call","2015-2016 SESSION"," SB   35","SHALL THE DECISION OF THE CHAR STAND               ","Aye","Marklein","Howard","R","Spring Green","Senator",17
"20.35","sv0036","Wisconsin Senate Roll Call","2015-2016 SESSION"," SB   35","SHALL THE DECISION OF THE CHAR STAND               ","Aye","Moulton","Terry","R","Chippewa Falls","Senator",23
"21.35","sv0036","Wisconsin Senate Roll Call","2015-2016 SESSION"," SB   35","SHALL THE DECISION OF THE CHAR STAND               ","Aye","Nass","Stephen","R","Whitewater","Senator",11
"22.35","sv0036","Wisconsin Senate Roll Call","2015-2016 SESSION"," SB   35","SHALL THE DECISION OF THE CHAR STAND               ","Aye","Olsen","Luther","R","Ripon","Senator",14
"23.35","sv0036","Wisconsin Senate Roll Call","2015-2016 SESSION"," SB   35","SHALL THE DECISION OF THE CHAR STAND               ","Aye","Petrowski","Jerry","R","Marathon","Senator",29
"26.35","sv0036","Wisconsin Senate Roll Call","2015-2016 SESSION"," SB   35","SHALL THE DECISION OF THE CHAR STAND               ","Aye","Roth","Roger","R","Appleton","Senator",19
"28.7","sv0036","Wisconsin Senate Roll Call","2015-2016 SESSION"," SB   35","SHALL THE DECISION OF THE CHAR STAND               ","Aye","Stroebel","Duey","R","Saukville","Senator",20
"30.35","sv0036","Wisconsin Senate Roll Call","2015-2016 SESSION"," SB   35","SHALL THE DECISION OF THE CHAR STAND               ","Aye","Tiffany","Thomas","R","Hazelhurst","Senator",12
"31.35","sv0036","Wisconsin Senate Roll Call","2015-2016 SESSION"," SB   35","SHALL THE DECISION OF THE CHAR STAND               ","Aye","Vinehout","Kathleen","D","Alma","Minority Caucus Vice-Chair",31
"32.35","sv0036","Wisconsin Senate Roll Call","2015-2016 SESSION"," SB   35","SHALL THE DECISION OF THE CHAR STAND               ","Aye","Vukmir","Leah","R","Brookfield","Assistant Majority Leader",5
"33.35","sv0036","Wisconsin Senate Roll Call","2015-2016 SESSION"," SB   35","SHALL THE DECISION OF THE CHAR STAND               ","Aye","Wanggaard","Van","R","Racine","Majority Caucus Vice-Chair",21
"2.35","sv0036","Wisconsin Senate Roll Call","2015-2016 SESSION"," SB   35","SHALL THE DECISION OF THE CHAR STAND               ","Nay","Carpenter","Tim","D","Milwaukee","Senator",3
"5.35","sv0036","Wisconsin Senate Roll Call","2015-2016 SESSION"," SB   35","SHALL THE DECISION OF THE CHAR STAND               ","Nay","Erpenbach","Jon","D","Middleton","Senator",27
"9.35","sv0036","Wisconsin Senate Roll Call","2015-2016 SESSION"," SB   35","SHALL THE DECISION OF THE CHAR STAND               ","Nay","Hansen","Dave","D","Green Bay","Assistant Minority Leader",30
"10.35","sv0036","Wisconsin Senate Roll Call","2015-2016 SESSION"," SB   35","SHALL THE DECISION OF THE CHAR STAND               ","Nay","Harris Dodd","Nikiya","D","Milwaukee","Senator",6
"13.35","sv0036","Wisconsin Senate Roll Call","2015-2016 SESSION"," SB   35","SHALL THE DECISION OF THE CHAR STAND               ","Nay","Larson","Chris","D","Milwaukee","Senator",7
"15.35","sv0036","Wisconsin Senate Roll Call","2015-2016 SESSION"," SB   35","SHALL THE DECISION OF THE CHAR STAND               ","Nay","Lassa","Julie","D","Stevens Point","Minority Caucus Chair",24
"19.35","sv0036","Wisconsin Senate Roll Call","2015-2016 SESSION"," SB   35","SHALL THE DECISION OF THE CHAR STAND               ","Nay","Miller","Mark","D","Monona","Senator",16
"24.35","sv0036","Wisconsin Senate Roll Call","2015-2016 SESSION"," SB   35","SHALL THE DECISION OF THE CHAR STAND               ","Nay","Ringhand","Janis","D","Evansville","Senator",15
"25.35","sv0036","Wisconsin Senate Roll Call","2015-2016 SESSION"," SB   35","SHALL THE DECISION OF THE CHAR STAND               ","Nay","Risser","Fred","D","Madison","Senator",26
"27.35","sv0036","Wisconsin Senate Roll Call","2015-2016 SESSION"," SB   35","SHALL THE DECISION OF THE CHAR STAND               ","Nay","Shilling","Jennifer","D","La Crosse","Minority Leader",32
"29.35","sv0036","Wisconsin Senate Roll Call","2015-2016 SESSION"," SB   35","SHALL THE DECISION OF THE CHAR STAND               ","Nay","Taylor","Lena","D","Milwaukee","Senator",4
"34.35","sv0036","Wisconsin Senate Roll Call","2015-2016 SESSION"," SB   35","SHALL THE DECISION OF THE CHAR STAND               ","Nay","Wirch","Robert","D","Kenosha","Senator",22
"3.36","sv0037","Wisconsin Senate Roll Call","2015-2016 SESSION","SB 35","SHALL THE DECISION OF THE CHAIR STAND","Aye","Cowles","Robert","R","Green Bay","Senator",2
"4.36","sv0037","Wisconsin Senate Roll Call","2015-2016 SESSION","SB 35","SHALL THE DECISION OF THE CHAIR STAND","Aye","Darling","Alberta","R","River Hills","Senator",8
"7.36","sv0037","Wisconsin Senate Roll Call","2015-2016 SESSION","SB 35","SHALL THE DECISION OF THE CHAIR STAND","Aye","Fitzgerald","Scott","R","Juneau","Majority Leader",13
"8.36","sv0037","Wisconsin Senate Roll Call","2015-2016 SESSION","SB 35","SHALL THE DECISION OF THE CHAIR STAND","Aye","Gudex","Rick","R","Fond du Lac","Senator",18
"11.36","sv0037","Wisconsin Senate Roll Call","2015-2016 SESSION","SB 35","SHALL THE DECISION OF THE CHAIR STAND","Aye","Harsdorf","Sheila","R","River Falls","Majority Caucus Chair",10
"14.36","sv0037","Wisconsin Senate Roll Call","2015-2016 SESSION","SB 35","SHALL THE DECISION OF THE CHAIR STAND","Aye","Lasee","Frank","R","De Pere","Senator",1
"16.36","sv0037","Wisconsin Senate Roll Call","2015-2016 SESSION","SB 35","SHALL THE DECISION OF THE CHAIR STAND","Aye","Lazich","Mary","R","New Berlin","Senate President",28
"17.36","sv0037","Wisconsin Senate Roll Call","2015-2016 SESSION","SB 35","SHALL THE DECISION OF THE CHAIR STAND","Aye","LeMahieu","Devin","R","Oostburg","Senator",9
"18.36","sv0037","Wisconsin Senate Roll Call","2015-2016 SESSION","SB 35","SHALL THE DECISION OF THE CHAIR STAND","Aye","Marklein","Howard","R","Spring Green","Senator",17
"20.36","sv0037","Wisconsin Senate Roll Call","2015-2016 SESSION","SB 35","SHALL THE DECISION OF THE CHAIR STAND","Aye","Moulton","Terry","R","Chippewa Falls","Senator",23
"21.36","sv0037","Wisconsin Senate Roll Call","2015-2016 SESSION","SB 35","SHALL THE DECISION OF THE CHAIR STAND","Aye","Nass","Stephen","R","Whitewater","Senator",11
"22.36","sv0037","Wisconsin Senate Roll Call","2015-2016 SESSION","SB 35","SHALL THE DECISION OF THE CHAIR STAND","Aye","Olsen","Luther","R","Ripon","Senator",14
"23.36","sv0037","Wisconsin Senate Roll Call","2015-2016 SESSION","SB 35","SHALL THE DECISION OF THE CHAIR STAND","Aye","Petrowski","Jerry","R","Marathon","Senator",29
"26.36","sv0037","Wisconsin Senate Roll Call","2015-2016 SESSION","SB 35","SHALL THE DECISION OF THE CHAIR STAND","Aye","Roth","Roger","R","Appleton","Senator",19
"28.8","sv0037","Wisconsin Senate Roll Call","2015-2016 SESSION","SB 35","SHALL THE DECISION OF THE CHAIR STAND","Aye","Stroebel","Duey","R","Saukville","Senator",20
"30.36","sv0037","Wisconsin Senate Roll Call","2015-2016 SESSION","SB 35","SHALL THE DECISION OF THE CHAIR STAND","Aye","Tiffany","Thomas","R","Hazelhurst","Senator",12
"31.36","sv0037","Wisconsin Senate Roll Call","2015-2016 SESSION","SB 35","SHALL THE DECISION OF THE CHAIR STAND","Aye","Vinehout","Kathleen","D","Alma","Minority Caucus Vice-Chair",31
"32.36","sv0037","Wisconsin Senate Roll Call","2015-2016 SESSION","SB 35","SHALL THE DECISION OF THE CHAIR STAND","Aye","Vukmir","Leah","R","Brookfield","Assistant Majority Leader",5
"33.36","sv0037","Wisconsin Senate Roll Call","2015-2016 SESSION","SB 35","SHALL THE DECISION OF THE CHAIR STAND","Aye","Wanggaard","Van","R","Racine","Majority Caucus Vice-Chair",21
"1.36","sv0037","Wisconsin Senate Roll Call","2015-2016 SESSION","SB 35","SHALL THE DECISION OF THE CHAIR STAND","Nay","Bewley","Janet","D","Ashland","Senator",25
"2.36","sv0037","Wisconsin Senate Roll Call","2015-2016 SESSION","SB 35","SHALL THE DECISION OF THE CHAIR STAND","Nay","Carpenter","Tim","D","Milwaukee","Senator",3
"5.36","sv0037","Wisconsin Senate Roll Call","2015-2016 SESSION","SB 35","SHALL THE DECISION OF THE CHAIR STAND","Nay","Erpenbach","Jon","D","Middleton","Senator",27
"9.36","sv0037","Wisconsin Senate Roll Call","2015-2016 SESSION","SB 35","SHALL THE DECISION OF THE CHAIR STAND","Nay","Hansen","Dave","D","Green Bay","Assistant Minority Leader",30
"10.36","sv0037","Wisconsin Senate Roll Call","2015-2016 SESSION","SB 35","SHALL THE DECISION OF THE CHAIR STAND","Nay","Harris Dodd","Nikiya","D","Milwaukee","Senator",6
"13.36","sv0037","Wisconsin Senate Roll Call","2015-2016 SESSION","SB 35","SHALL THE DECISION OF THE CHAIR STAND","Nay","Larson","Chris","D","Milwaukee","Senator",7
"15.36","sv0037","Wisconsin Senate Roll Call","2015-2016 SESSION","SB 35","SHALL THE DECISION OF THE CHAIR STAND","Nay","Lassa","Julie","D","Stevens Point","Minority Caucus Chair",24
"19.36","sv0037","Wisconsin Senate Roll Call","2015-2016 SESSION","SB 35","SHALL THE DECISION OF THE CHAIR STAND","Nay","Miller","Mark","D","Monona","Senator",16
