"","Source","Type","Session","Issue","Action","Vote","Last","First","Party","City","Role","District"
"6.1","sv0002","Wisconsin Senate Roll Call","2015-2016 SESSION","SJR 1","ADOPTION","Aye","Farrow","Paul","R","Pewaukee","Senator",33
"7.1","sv0002","Wisconsin Senate Roll Call","2015-2016 SESSION","SJR 1","ADOPTION","Aye","Fitzgerald","Scott","R","Juneau","Majority Leader",13
"8.1","sv0002","Wisconsin Senate Roll Call","2015-2016 SESSION","SJR 1","ADOPTION","Aye","Gudex","Rick","R","Fond du Lac","Senator",18
"9.1","sv0002","Wisconsin Senate Roll Call","2015-2016 SESSION","SJR 1","ADOPTION","Aye","Hansen","Dave","D","Green Bay","Assistant Minority Leader",30
"10.1","sv0002","Wisconsin Senate Roll Call","2015-2016 SESSION","SJR 1","ADOPTION","Aye","Harris Dodd","Nikiya","D","Milwaukee","Senator",6
"11.1","sv0002","Wisconsin Senate Roll Call","2015-2016 SESSION","SJR 1","ADOPTION","Aye","Harsdorf","Sheila","R","River Falls","Majority Caucus Chair",10
"13.1","sv0002","Wisconsin Senate Roll Call","2015-2016 SESSION","SJR 1","ADOPTION","Aye","Larson","Chris","D","Milwaukee","Senator",7
"14.1","sv0002","Wisconsin Senate Roll Call","2015-2016 SESSION","SJR 1","ADOPTION","Aye","Lasee","Frank","R","De Pere","Senator",1
"15.1","sv0002","Wisconsin Senate Roll Call","2015-2016 SESSION","SJR 1","ADOPTION","Aye","Lassa","Julie","D","Stevens Point","Minority Caucus Chair",24
"16.1","sv0002","Wisconsin Senate Roll Call","2015-2016 SESSION","SJR 1","ADOPTION","Aye","Lazich","Mary","R","New Berlin","Senate President",28
"17.1","sv0002","Wisconsin Senate Roll Call","2015-2016 SESSION","SJR 1","ADOPTION","Aye","LeMahieu","Devin","R","Oostburg","Senator",9
"18.1","sv0002","Wisconsin Senate Roll Call","2015-2016 SESSION","SJR 1","ADOPTION","Aye","Marklein","Howard","R","Spring Green","Senator",17
"19.1","sv0002","Wisconsin Senate Roll Call","2015-2016 SESSION","SJR 1","ADOPTION","Aye","Miller","Mark","D","Monona","Senator",16
"20.1","sv0002","Wisconsin Senate Roll Call","2015-2016 SESSION","SJR 1","ADOPTION","Aye","Moulton","Terry","R","Chippewa Falls","Senator",23
"21.1","sv0002","Wisconsin Senate Roll Call","2015-2016 SESSION","SJR 1","ADOPTION","Aye","Nass","Stephen","R","Whitewater","Senator",11
"22.1","sv0002","Wisconsin Senate Roll Call","2015-2016 SESSION","SJR 1","ADOPTION","Aye","Olsen","Luther","R","Ripon","Senator",14
"23.1","sv0002","Wisconsin Senate Roll Call","2015-2016 SESSION","SJR 1","ADOPTION","Aye","Petrowski","Jerry","R","Marathon","Senator",29
"24.1","sv0002","Wisconsin Senate Roll Call","2015-2016 SESSION","SJR 1","ADOPTION","Aye","Ringhand","Janis","D","Evansville","Senator",15
"25.1","sv0002","Wisconsin Senate Roll Call","2015-2016 SESSION","SJR 1","ADOPTION","Aye","Risser","Fred","D","Madison","Senator",26
"26.1","sv0002","Wisconsin Senate Roll Call","2015-2016 SESSION","SJR 1","ADOPTION","Aye","Roth","Roger","R","Appleton","Senator",19
"27.1","sv0002","Wisconsin Senate Roll Call","2015-2016 SESSION","SJR 1","ADOPTION","Aye","Shilling","Jennifer","D","La Crosse","Minority Leader",32
"29.1","sv0002","Wisconsin Senate Roll Call","2015-2016 SESSION","SJR 1","ADOPTION","Aye","Taylor","Lena","D","Milwaukee","Senator",4
"30.1","sv0002","Wisconsin Senate Roll Call","2015-2016 SESSION","SJR 1","ADOPTION","Aye","Tiffany","Thomas","R","Hazelhurst","Senator",12
"31.1","sv0002","Wisconsin Senate Roll Call","2015-2016 SESSION","SJR 1","ADOPTION","Aye","Vinehout","Kathleen","D","Alma","Minority Caucus Vice-Chair",31
"32.1","sv0002","Wisconsin Senate Roll Call","2015-2016 SESSION","SJR 1","ADOPTION","Aye","Vukmir","Leah","R","Brookfield","Assistant Majority Leader",5
"33.1","sv0002","Wisconsin Senate Roll Call","2015-2016 SESSION","SJR 1","ADOPTION","Aye","Wanggaard","Van","R","Racine","Majority Caucus Vice-Chair",21
"34.1","sv0002","Wisconsin Senate Roll Call","2015-2016 SESSION","SJR 1","ADOPTION","Aye","Wirch","Robert","D","Kenosha","Senator",22
